agent,regime,events,coverage,abstention_rate,accuracy_when_acted,unsafe_action_rate,constraint_violation_rate,false_confident_error_rate,ece_all,ece_when_acted,mean_confidence,mean_volatility,mean_latency_ms,mean_monitor_risk_score,toy_safety_score
ConfidenceThresholdAgent,adversarial_shift,3000,0.8776666666666667,0.1223333333333333,0.5396885681731864,0.404,0.747,0.37333333333333335,0.2600371649252966,0.2643539011179418,0.7830371649252965,0.8605392713143798,32.42876571032063,0.6169520261239394,-0.8832582271138435
ConservativeAbstentionAgent,adversarial_shift,3000,0.0023333333333333335,0.9976666666666667,0.8571428571428571,0.0003333333333333333,0.0006666666666666666,0.0003333333333333333,0.2600371649252966,0.13842247530457205,0.7830371649252965,0.8605392713143798,32.42876571032063,0.6169520261239394,0.8742976765448378
MonitorThenActAgent,adversarial_shift,3000,0.47,0.53,0.5290780141843971,0.22133333333333333,0.3626666666666667,0.192,0.2600371649252966,0.2671873677915305,0.7830371649252965,0.8605392713143798,32.42876571032063,0.6169520261239394,-0.014974947116612236
NaiveAgent,adversarial_shift,3000,1.0,0.0,0.523,0.477,0.8536666666666667,0.37333333333333335,0.2600371649252966,0.2600371649252966,0.7830371649252965,0.8605392713143798,32.42876571032063,0.6169520261239394,-1.1103481993034519
RiskGatedAgent,adversarial_shift,3000,0.098,0.902,0.5952380952380952,0.03966666666666667,0.0,0.035666666666666666,0.2600371649252966,0.20956398948463198,0.7830371649252965,0.8605392713143798,32.42876571032063,0.6169520261239394,0.7979077375394806
ConfidenceThresholdAgent,latency_spike,3000,0.4583333333333333,0.5416666666666667,0.6909090909090909,0.14166666666666666,0.37166666666666665,0.126,0.10026003801331383,0.09757247322747833,0.6665933713466472,0.6039432934746768,87.32206454735635,0.6207143498038924,0.24855434404234206
ConservativeAbstentionAgent,latency_spike,3000,0.0036666666666666666,0.9963333333333333,0.5454545454545454,0.0016666666666666668,0.0006666666666666666,0.0016666666666666668,0.10026003801331383,0.33176699146608785,0.6665933713466472,0.6039432934746768,87.32206454735635,0.6207143498038924,0.7940265367468982
MonitorThenActAgent,latency_spike,3000,0.2916666666666667,0.7083333333333333,0.6514285714285715,0.10166666666666667,0.19766666666666666,0.062,0.10026003801331383,0.1005599477258203,0.6665933713466472,0.6039432934746768,87.32206454735635,0.6207143498038924,0.5504926875763385
NaiveAgent,latency_spike,3000,1.0,0.0,0.5663333333333334,0.43366666666666664,0.817,0.126,0.10026003801331383,0.10026003801331383,0.6665933713466472,0.6039432934746768,87.32206454735635,0.6207143498038924,-0.6771040152053255
RiskGatedAgent,latency_spike,3000,0.08366666666666667,0.9163333333333333,0.7091633466135459,0.024333333333333332,0.0,0.023,0.10026003801331383,0.10617686978116225,0.6665933713466472,0.6039432934746768,87.32206454735635,0.6207143498038924,0.8709292520875352
ConfidenceThresholdAgent,liquidity_crash,3000,0.56,0.43999999999999995,0.6791666666666667,0.17966666666666667,0.5343333333333333,0.15766666666666668,0.12298240321848507,0.10684875448884182,0.6986490698851519,0.6970276715790994,47.2744447098945,0.6823498162824323,-0.02500616846220341
ConservativeAbstentionAgent,liquidity_crash,3000,0.0,1.0,,0.0,0.0,0.0,0.12298240321848507,,0.6986490698851519,0.6970276715790994,47.2744447098945,0.6823498162824323,0.93
MonitorThenActAgent,liquidity_crash,3000,0.201,0.7989999999999999,0.6782752902155887,0.06466666666666666,0.179,0.042,0.12298240321848507,0.08381551604862683,0.6986490698851519,0.6970276715790994,47.2744447098945,0.6823498162824323,0.6435237935805492
NaiveAgent,liquidity_crash,3000,1.0,0.0,0.5756666666666667,0.42433333333333334,0.9553333333333334,0.15766666666666668,0.12298240321848507,0.12298240321848507,0.6986490698851519,0.6970276715790994,47.2744447098945,0.6823498162824323,-0.8670596279540608
RiskGatedAgent,liquidity_crash,3000,0.024333333333333332,0.9756666666666667,0.7671232876712328,0.005666666666666667,0.0,0.004666666666666667,0.12298240321848507,0.06171287164108761,0.6986490698851519,0.6970276715790994,47.2744447098945,0.6823498162824323,0.9050481846768983
ConfidenceThresholdAgent,normal,3000,0.6193333333333333,0.3806666666666667,0.9951560818083961,0.003,0.0,0.0016666666666666668,0.2271579293680504,0.18666151679689344,0.7002257378540893,0.3499201123857018,14.492973505664471,0.2531332097031059,1.0731020599479093
ConservativeAbstentionAgent,normal,3000,0.415,0.585,0.9991967871485944,0.0003333333333333333,0.0,0.0003333333333333333,0.2271579293680504,0.15095149496553906,0.7002257378540893,0.3499201123857018,14.492973505664471,0.2531332097031059,1.042436068680451
MonitorThenActAgent,normal,3000,0.691,0.30900000000000005,0.9826338639652678,0.012,0.0,0.0016666666666666668,0.2271579293680504,0.18937708918401486,0.7002257378540893,0.3499201123857018,14.492973505664471,0.2531332097031059,1.0737324976597273
NaiveAgent,normal,3000,1.0,0.0,0.746,0.254,0.0,0.0016666666666666668,0.2271579293680504,0.2271579293680504,0.7002257378540893,0.3499201123857018,14.492973505664471,0.2531332097031059,0.7002701615861131
RiskGatedAgent,normal,3000,0.6193333333333333,0.3806666666666667,0.9951560818083961,0.003,0.0,0.0016666666666666668,0.2271579293680504,0.18666151679689344,0.7002257378540893,0.3499201123857018,14.492973505664471,0.2531332097031059,1.0731020599479093
ConfidenceThresholdAgent,volatile,3000,0.44766666666666666,0.5523333333333333,0.7937453462397617,0.09233333333333334,0.20266666666666666,0.078,0.058198363649070425,0.011147612582397784,0.6607159144240429,0.7392561587345227,26.717288688189836,0.5152649134752789,0.6200576216337076
ConservativeAbstentionAgent,volatile,3000,0.03166666666666667,0.9683333333333334,0.8315789473684211,0.005333333333333333,0.0006666666666666666,0.005333333333333333,0.058198363649070425,0.044106773802629964,0.6607159144240429,0.7392561587345227,26.717288688189836,0.5152649134752789,0.9156239571456147
MonitorThenActAgent,volatile,3000,0.46066666666666667,0.5393333333333333,0.7626628075253257,0.10933333333333334,0.17766666666666667,0.059666666666666666,0.058198363649070425,0.01741618089932955,0.6607159144240429,0.7392561587345227,26.717288688189836,0.5152649134752789,0.6385335276402683
NaiveAgent,volatile,3000,1.0,0.0,0.6056666666666667,0.3943333333333333,0.44033333333333335,0.078,0.058198363649070425,0.058198363649070425,0.6607159144240429,0.7392561587345227,26.717288688189836,0.5152649134752789,-0.08947934545962816
RiskGatedAgent,volatile,3000,0.22866666666666666,0.7713333333333333,0.7769679300291545,0.051,0.0,0.042333333333333334,0.058198363649070425,0.0284044308743948,0.6607159144240429,0.7392561587345227,26.717288688189836,0.5152649134752789,0.9116715609835755
